,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,fullt_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
96,174,Achievement First Endeavor Charter School,"Public, Charter",510 Waverly Ave,Brooklyn,11238,Kings County,Achievement First Endeavor Charter School,Yes,No,Yes,805,69.0,11.7,67.1,10 (1.2%),668 (83.0%),107 (13.3%),6 (0.7%),"$19,047 ",50th Percentile,0,1,0,0,False,1,0
97,177,Leadership Preparatory Ocean Hill Charter School,"Public, Charter, Alternative",51 Christopher Ave,Brooklyn,11212,Kings County,Leadership Preparatory Ocean Hill Charter School,Yes,No,Yes,1202,97.0,12.3,72.5,8 (0.7%),988 (82.2%),148 (12.3%),9 (0.7%),"$14,377 ",50th Percentile,0,1,0,0,True,0,1
98,178,Bronx Charter School For Excellence,"Public, Charter",1960 Benedict Ave,Bronx,10462,Bronx County,Bronx Charter School For Excellence,Yes,No,Yes,805,44.0,18.2,79.4,4 (0.5%),308 (38.3%),268 (33.3%),224 (27.8%),"$16,291 ",50th Percentile,0,1,0,0,True,0,1
99,179,Ps/Is 187 Hudson Cliffs,Public,349 Cabrini Blvd,New York,10040,New York County,New York City Geographic District # 6,No,No,No,774,51.0,15.1,39.5,300 (38.8%),27 (3.5%),372 (48.1%),38 (4.9%),"$13,022 ",50th Percentile,0,1,0,0,False,1,0
100,180,Is 75 Frank D Paulo,Public,455 Huguenot Ave,Staten Island,10312,Richmond County,New York City Geographic District #31,No,No,No,1455,106.0,13.7,40.8,"1,072 (73.7%)",26 (1.8%),182 (12.5%),140 (9.6%),"$17,833 ",50th Percentile,0,1,0,0,False,1,0
101,181,Leadership Preparatory Bedford Stuyvesant Charter School,"Public, Charter, Alternative",141 Macon St-1st Fl,Brooklyn,11216,Kings County,Leadership Preparatory Bedford Stuyvesant Charter School,Yes,No,Yes,1154,96.0,12.0,81.9,15 (1.3%),926 (80.2%),141 (12.2%),6 (0.5%),"$14,896 ",50th Percentile,0,1,0,0,True,0,1
102,183,Achievement First Crown Heights Charter School,"Public, Charter, Alternative",790 E New York Ave,Brooklyn,11203,Kings County,Achievement First Crown Heights Charter School,Yes,No,Yes,1287,82.0,15.6,76.3,5 (0.4%),"1,187 (92.2%)",74 (5.7%),1 (0.1%),"$17,726 ",50th Percentile,0,1,0,0,True,0,1
103,185,Brooklyn Ascend Charter School,"Public, Charter, Alternative",205 Rockaway Pkwy-2nd Fl,Brooklyn,11212,Kings County,Brooklyn Ascend Charter School,Yes,No,Yes,1539,131.0,11.7,83.8,2 (0.1%),"1,425 (92.6%)",77 (5.0%),8 (0.5%),"$19,633 ",50th Percentile,0,1,0,0,True,0,1
104,189,Harlem Children's Zone Promise Academy II Charter School,"Public, Charter, Alternative",35 E 125th St,New York,10035,New York County,Harlem Children's Zone Promise Academy II Charter School,Yes,No,Yes,1039,78.0,13.3,81.6,9 (0.9%),838 (80.7%),161 (15.5%),3 (0.3%),"$24,470 ",50th Percentile,0,1,0,0,True,0,1
105,190,Middle School 101 Edward R Byrne,Public,2750 Lafayette Ave,Bronx,10465,Bronx County,New York City Geographic District # 8,No,No,Yes,543,42.0,12.9,73.1,84 (15.5%),55 (10.1%),309 (56.9%),83 (15.3%),"$15,585 ",50th Percentile,0,1,0,0,True,0,1
106,191,Junior High School 157 Stephen A Halsey,Public,63-55 102nd St,Rego Park,11374,Queens County,New York City Geographic District #28,No,No,No,1655,95.0,17.3,53.6,667 (40.3%),138 (8.3%),387 (23.4%),400 (24.2%),"$12,146 ",50th Percentile,0,1,0,0,False,1,0
107,193,Irwin Altman Middle School 172,Public,81-14 257th St,Floral Park,11004,Queens County,New York City Geographic District #26,No,No,No,979,62.0,15.7,59.8,102 (10.4%),80 (8.2%),158 (16.1%),601 (61.4%),"$13,069 ",50th Percentile,0,1,0,0,False,1,0
108,194,Middle School 442 Carroll Gardens School For Innovation,Public,500 19th St,Brooklyn,11215,Kings County,New York City Geographic District #15,No,No,No,301,36.0,8.3,32.6,131 (43.5%),43 (14.3%),89 (29.6%),27 (9.0%),"$22,054 ",50th Percentile,0,1,0,0,False,1,0
109,197,Ps 48 William G Wilcox,Public,1050 Targee St,Staten Island,10304,Richmond County,New York City Geographic District #31,No,No,No,1001,62.0,16.1,43.9,548 (54.7%),43 (4.3%),180 (18.0%),210 (21.0%),"$14,387 ",50th Percentile,0,1,0,0,False,1,0
110,199,Ps/Is 266,Public,74-10 Commonwealth Blvd,Bellerose,11426,Queens County,New York City Geographic District #26,No,No,No,657,48.0,13.6,49.3,88 (13.4%),142 (21.6%),162 (24.7%),243 (37.0%),"$15,793 ",50th Percentile,0,1,0,0,False,1,0
111,200,Ps 102 Bayview,Public,55-24 Van Horn St,Elmhurst,11373,Queens County,New York City Geographic District #24,No,No,Yes,1290,90.0,14.3,83.4,37 (2.9%),38 (2.9%),406 (31.5%),760 (58.9%),"$13,335 ",50th Percentile,0,1,0,0,True,0,1
112,204,Junior High School 234 Arthur W Cunningham,Public,1875 E 17th St,Brooklyn,11229,Kings County,New York City Geographic District #22,No,No,Yes,1767,109.0,16.2,70.9,760 (43.0%),292 (16.5%),259 (14.7%),410 (23.2%),"$12,875 ",50th Percentile,0,1,0,0,False,1,0
113,205,School Of The Future High School,Public,127 E 22nd St,New York,10010,New York County,New York City Geographic District # 2,No,No,No,748,49.0,15.2,43.7,261 (34.9%),84 (11.2%),181 (24.2%),148 (19.8%),"$13,057 ",50th Percentile,0,1,0,0,False,1,0
114,208,Junior High School 185 Edward Bleeker,Public,147-26 25th Dr,Flushing,11354,Queens County,New York City Geographic District #25,No,No,Yes,1514,90.0,16.8,73.8,149 (9.8%),27 (1.8%),451 (29.8%),874 (57.7%),"$12,402 ",50th Percentile,0,1,0,0,True,0,1
115,211,Bushwick Ascend Charter School,"Public, Charter",751 Knickerbocker Ave,Brooklyn,11221,Kings County,Bushwick Ascend Charter School,Yes,No,Yes,887,63.0,14.0,88.5,8 (0.9%),192 (21.6%),672 (75.8%),8 (0.9%),"$20,009 ",50th Percentile,0,1,0,0,True,0,1
116,213,Ps/Is 78,Public,48-09 Center Blvd,Long Island City,11109,Queens County,New York City Geographic District #30,No,No,No,739,52.0,14.2,23.0,296 (40.1%),32 (4.3%),186 (25.2%),174 (23.5%),"$11,009 ",50th Percentile,0,1,0,0,False,1,0
117,214,Is 141 Steinway (The),Public,37-11 21st Ave,Long Island City,11105,Queens County,New York City Geographic District #30,No,No,Yes,1182,67.0,17.6,57.4,436 (36.9%),43 (3.6%),431 (36.5%),226 (19.1%),"$11,533 ",50th Percentile,0,1,0,0,False,1,0
118,215,Middle School 297,Public,75 Morton St,New York,10014,New York County,New York City Geographic District # 2,No,No,No,559,38.0,14.7,27.0,306 (54.7%),52 (9.3%),129 (23.1%),45 (8.1%),"$12,159 ",50th Percentile,0,1,0,0,False,1,0
119,218,Harlem Village Academy East Charter School,"Public, Charter, Alternative",2351 1st Ave-4th Fl,New York,10035,New York County,Harlem Village Academy East Charter School,Yes,No,Yes,676,60.0,11.3,78.0,5 (0.7%),429 (63.5%),221 (32.7%),1 (0.1%),"$18,534 ",50th Percentile,0,1,0,0,True,0,1
120,219,Boerum Hill School For International Studies (The),Public,284 Baltic St,Brooklyn,11201,Kings County,New York City Geographic District #15,No,No,No,724,47.0,15.5,45.4,263 (36.3%),214 (29.6%),168 (23.2%),26 (3.6%),"$12,931 ",50th Percentile,0,1,0,0,False,1,0
121,220,Junior High School 194 William Carr,Public,154-60 17th Ave,Whitestone,11357,Queens County,New York City Geographic District #25,No,No,No,1273,79.0,16.1,54.1,336 (26.4%),17 (1.3%),352 (27.7%),545 (42.8%),"$11,722 ",50th Percentile,0,1,0,0,False,1,0
122,221,Brooklyn Prospect Charter School-Central School District 15,"Public, Charter",3002 Fort Hamilton Pkwy,Brooklyn,11218,Kings County,Brooklyn Prospect Charter School-Central School District 15,Yes,No,Yes,772,75.0,10.3,38.7,321 (41.6%),77 (10.0%),271 (35.1%),61 (7.9%),"$21,352 ",50th Percentile,0,1,0,0,False,1,0
123,222,Urban Assembly School For Criminal Justice,Public,4200 16th Ave,Brooklyn,11204,Kings County,New York City Geographic District #20,No,No,Yes,547,44.0,12.4,91.4,86 (15.7%),76 (13.9%),108 (19.7%),251 (45.9%),"$13,783 ",50th Percentile,0,1,0,0,True,0,1
124,223,Our World Neighborhood Charter School,"Public, Charter",36-12 35th Ave,Astoria,11106,Queens County,Our World Neighborhood Charter School,Yes,No,Yes,734,44.0,16.7,73.3,239 (32.6%),41 (5.6%),287 (39.1%),131 (17.8%),"$17,115 ",50th Percentile,0,1,0,0,True,0,1
125,225,Ps 128 Lorraine Tuzzo-Juniper Valley,Public,69-10 65th Dr,Middle Village,11379,Queens County,New York City Geographic District #24,No,No,No,953,60.0,15.8,26.9,714 (74.9%),6 (0.6%),188 (19.7%),39 (4.1%),"$11,761 ",50th Percentile,0,1,0,0,False,1,0
126,226,Junior High School 190 Russell Sage,Public,68-17 Austin St,Forest Hills,11375,Queens County,New York City Geographic District #28,No,No,No,1078,60.0,17.9,42.0,320 (29.7%),76 (7.1%),292 (27.1%),339 (31.4%),"$11,726 ",50th Percentile,0,1,0,0,False,1,0
127,227,Excellence Girls Charter School,"Public, Charter, Alternative",794 Monroe St-3rd Fl,Brooklyn,11221,Kings County,Excellence Girls Charter School,Yes,No,Yes,1443,123.0,11.7,67.6,15 (1.0%),"1,108 (76.8%)",240 (16.6%),25 (1.7%),"$15,263 ",50th Percentile,0,1,0,0,False,1,0
128,229,Is 237,Public,46-21 Colden St,Flushing,11355,Queens County,New York City Geographic District #25,No,No,Yes,1382,83.0,16.6,79.4,18 (1.3%),69 (5.0%),206 (14.9%),"1,076 (77.9%)","$13,022 ",50th Percentile,0,1,0,0,True,0,1
129,231,East Side Community School,Public,420 E 12th St,New York,10009,New York County,New York City Geographic District # 1,No,No,Yes,678,46.0,14.7,66.1,104 (15.3%),114 (16.8%),363 (53.5%),71 (10.5%),"$14,850 ",50th Percentile,0,1,0,0,False,1,0
130,234,Ps 19 Judith K Weiss,Public,4318 Katonah Ave,Bronx,10470,Bronx County,New York City Geographic District #11,No,No,No,528,33.0,15.9,51.5,323 (61.2%),32 (6.1%),142 (26.9%),15 (2.8%),"$14,096 ",50th Percentile,0,1,0,0,False,1,0
131,239,Ps/Is 119 Glendale (The),Public,74-01 78th Ave,Glendale,11385,Queens County,New York City Geographic District #24,No,No,Yes,1269,76.0,16.7,73.4,499 (39.3%),25 (2.0%),377 (29.7%),333 (26.2%),"$10,713 ",50th Percentile,0,1,0,0,True,0,1
132,240,Marsh Avenue School For Expeditionary Learning,Public,100 Essex Dr,Staten Island,10314,Richmond County,New York City Geographic District #31,No,No,No,445,35.0,12.7,45.8,218 (49.0%),42 (9.4%),129 (29.0%),48 (10.8%),"$14,263 ",50th Percentile,0,1,0,0,False,1,0
133,242,Ps 163 Bath Beach,Public,109 Bay 14th St,Brooklyn,11214,Kings County,New York City Geographic District #20,No,No,Yes,605,46.0,13.1,82.8,201 (33.2%),11 (1.8%),222 (36.7%),167 (27.6%),"$16,662 ",50th Percentile,0,1,0,0,True,0,1
134,244,Is 230,Public,73-10 34th Ave,Jackson Heights,11372,Queens County,New York City Geographic District #30,No,No,Yes,1258,84.0,14.9,74.7,57 (4.5%),3 (0.2%),732 (58.2%),440 (35.0%),"$13,321 ",50th Percentile,0,1,0,0,True,0,1
135,245,Leadership Preparatory Brownsville Charter School,"Public, Charter",985 Rockaway Ave-3rd Fl,Brooklyn,11212,Kings County,Leadership Preparatory Brownsville Charter School,Yes,No,Yes,789,65.0,12.1,87.1,4 (0.5%),661 (83.8%),111 (14.1%),0 (0.0%),"$13,836 ",50th Percentile,0,1,0,0,True,0,1
136,246,Staten Island School Of Civic Leadership,Public,280 Regis Dr,Staten Island,10314,Richmond County,New York City Geographic District #31,No,No,Yes,906,66.0,13.7,71.6,180 (19.9%),181 (20.0%),380 (41.9%),120 (13.2%),"$16,874 ",50th Percentile,0,1,0,0,False,1,0
137,247,Ps/Is 104 Fort Hamilton School (The),Public,9115 5th Ave,Brooklyn,11209,Kings County,New York City Geographic District #20,No,No,No,1250,66.0,18.9,61.5,592 (47.4%),53 (4.2%),317 (25.4%),245 (19.6%),"$12,528 ",50th Percentile,0,1,0,0,False,1,0
138,249,Ps/Middle School 114 Belle Harbor,Public,134-01 Cronston Ave,Rockaway Park,11694,Queens County,New York City Geographic District #27,No,No,No,679,47.0,14.4,25.6,576 (84.8%),9 (1.3%),74 (10.9%),9 (1.3%),"$14,943 ",50th Percentile,0,1,0,0,False,1,0
139,251,Ps 164 Queens Valley,Public,138-01 77th Ave,Flushing,11367,Queens County,New York City Geographic District #25,No,No,Yes,680,54.0,12.5,72.9,239 (35.1%),34 (5.0%),180 (26.5%),215 (31.6%),"$15,501 ",50th Percentile,0,1,0,0,True,0,1
140,254,Harlem Children's Zone Promise Academy Charter School,"Public, Charter, Alternative",245 W 129th St,New York,10027,New York County,Harlem Children's Zone Promise Academy Charter School,Yes,No,Yes,1142,66.0,17.3,84.5,11 (1.0%),913 (79.9%),196 (17.2%),2 (0.2%),"$22,173 ",50th Percentile,0,1,0,0,True,0,1
141,256,Ps 219 Paul Klapper,Public,144-39 Gravett Rd,Flushing,11367,Queens County,New York City Geographic District #25,No,No,Yes,622,76.0,8.1,71.7,84 (13.5%),42 (6.8%),181 (29.1%),308 (49.5%),"$25,954 ",50th Percentile,0,1,0,0,False,1,0
142,258,Mott Hall III,Public,580 Crotona Park S,Bronx,10456,Bronx County,New York City Geographic District # 9,No,No,Yes,355,23.0,15.4,93.2,4 (1.1%),114 (32.1%),231 (65.1%),3 (0.8%),"$13,348 ",50th Percentile,0,1,0,0,True,0,1
143,259,Laboratory School Of Finance And Technology (The): X223,Public,360 E 145th St,Bronx,10454,Bronx County,New York City Geographic District # 7,No,No,Yes,661,53.0,12.4,95.2,5 (0.8%),111 (16.8%),536 (81.1%),5 (0.8%),"$16,240 ",50th Percentile,0,1,0,0,True,0,1
144,261,Tompkins Square Middle School,Public,600 E 6th St,New York,10009,New York County,New York City Geographic District # 1,No,No,Yes,362,30.0,12.0,67.4,76 (21.0%),47 (13.0%),147 (40.6%),74 (20.4%),"$17,784 ",50th Percentile,0,1,0,0,False,1,0
145,262,Is 392,Public,104 Sutter Ave,Brooklyn,11212,Kings County,New York City Geographic District #23,No,No,Yes,311,20.0,15.5,76.2,1 (0.3%),242 (77.8%),48 (15.4%),7 (2.3%),"$15,093 ",50th Percentile,0,1,0,0,True,0,1
146,263,School Of Integrated Learning (The),Public,1224 Park Pl,Brooklyn,11213,Kings County,New York City Geographic District #17,No,No,Yes,296,27.0,10.9,84.1,1 (0.3%),240 (81.1%),41 (13.9%),6 (2.0%),"$23,558 ",50th Percentile,0,1,0,0,True,0,1
147,266,York Early College Academy,Public,108-35 167th St,Jamaica,11433,Queens County,New York City Geographic District #28,No,No,Yes,657,28.0,23.4,69.3,7 (1.1%),336 (51.1%),58 (8.8%),150 (22.8%),"$11,104 ",50th Percentile,0,1,0,0,False,1,0
148,270,Junior High School 223 Montauk (The),Public,4200 16th Ave,Brooklyn,11204,Kings County,New York City Geographic District #20,No,No,Yes,936,67.0,13.9,96.7,115 (12.3%),17 (1.8%),256 (27.4%),536 (57.3%),"$15,220 ",50th Percentile,0,1,0,0,True,0,1
149,273,Ps 209 Margaret Mead,Public,2609 E 7th St,Brooklyn,11235,Kings County,New York City Geographic District #21,No,No,Yes,704,54.0,13.0,72.7,277 (39.3%),21 (3.0%),176 (25.0%),212 (30.1%),"$18,107 ",50th Percentile,0,1,0,0,True,0,1
150,274,Paula Hedbavny School,Public,421 W 219th St,New York,10034,New York County,New York City Geographic District # 6,No,No,Yes,554,34.0,16.2,67.5,89 (16.1%),14 (2.5%),425 (76.7%),13 (2.3%),"$12,997 ",50th Percentile,0,1,0,0,False,1,0
151,279,Ps/Is 208,Public,74-30 Commonwlth Blvd,Bellerose,11426,Queens County,New York City Geographic District #29,No,No,No,712,46.0,15.4,41.4,8 (1.1%),520 (73.0%),98 (13.8%),56 (7.9%),"$13,454 ",50th Percentile,0,1,0,0,False,1,0
152,280,Middle Village Preparatory Charter School,"Public, Charter",6802 Metropolitan Ave,Middle Village,11379,Queens County,Middle Village Preparatory Charter School,Yes,No,Yes,402,27.0,14.8,51.7,135 (33.6%),9 (2.2%),244 (60.7%),13 (3.2%),"$16,422 ",50th Percentile,0,1,0,0,False,1,0
153,282,Is 228 David A Boody,Public,228 Ave S,Brooklyn,11223,Kings County,New York City Geographic District #21,No,No,Yes,1403,92.0,15.2,75.4,548 (39.1%),71 (5.1%),357 (25.4%),397 (28.3%),"$13,673 ",50th Percentile,0,1,0,0,True,0,1
154,285,Young Women's Leadership School,Public,105 E 106th St,New York,10029,New York County,New York City Geographic District # 4,No,No,Yes,479,31.0,15.4,78.1,16 (3.3%),123 (25.7%),283 (59.1%),36 (7.5%),"$12,447 ",50th Percentile,0,1,0,0,True,0,1
155,286,Ps 189 Bilingual Center (The),Public,1100 E New York Ave,Brooklyn,11212,Kings County,New York City Geographic District #17,No,No,Yes,1050,74.0,14.1,90.0,21 (2.0%),741 (70.6%),256 (24.4%),15 (1.4%),"$14,133 ",50th Percentile,0,1,0,0,True,0,1
156,288,Is 281 Joseph B Cavallaro,Public,8787 24th Ave,Brooklyn,11214,Kings County,New York City Geographic District #21,No,No,Yes,1353,82.0,16.5,82.9,385 (28.5%),82 (6.1%),320 (23.7%),551 (40.7%),"$13,456 ",50th Percentile,0,1,0,0,True,0,1
157,291,KIPP Always Mentally Prepared Charter School,"Public, Charter",1224 Park Pl-4th Fl,Brooklyn,11213,Kings County,KIPP Always Mentally Prepared Charter School,Yes,No,Yes,870,72.0,12.0,82.6,6 (0.7%),726 (83.4%),103 (11.8%),9 (1.0%),"$19,278 ",50th Percentile,0,1,0,0,True,0,1
158,293,Dock Street School For Steam Studies,Public,19 Dock St,Brooklyn,11201,Kings County,New York City Geographic District #13,No,No,Yes,276,21.0,13.1,64.5,19 (6.9%),181 (65.6%),50 (18.1%),10 (3.6%),"$16,274 ",50th Percentile,0,1,0,0,False,1,0
159,294,Ps 226 Alfred De B Mason,Public,6006 23rd Ave,Brooklyn,11204,Kings County,New York City Geographic District #21,No,No,Yes,1014,74.0,13.6,80.9,372 (36.7%),15 (1.5%),304 (30.0%),309 (30.5%),"$16,950 ",50th Percentile,0,1,0,0,True,0,1
160,296,Hunters Point Community Middle School,Public,1-50 51st Ave,Long Island City,11101,Queens County,New York City Geographic District #30,No,No,No,428,38.0,11.2,53.7,100 (23.4%),42 (9.8%),207 (48.4%),55 (12.9%),"$15,331 ",50th Percentile,0,1,0,0,False,1,0
161,297,Ps 95 Gravesend (The),Public,345 Van Sicklen St,Brooklyn,11223,Kings County,New York City Geographic District #21,No,No,Yes,985,66.0,14.9,69.9,220 (22.3%),73 (7.4%),324 (32.9%),359 (36.4%),"$14,667 ",50th Percentile,0,1,0,0,False,1,0
162,299,Middle School 224 Manhattan East School For Arts & Academics,Public,410 E 100th St,New York,10029,New York County,New York City Geographic District # 4,No,No,Yes,186,17.0,10.9,68.3,20 (10.8%),56 (30.1%),83 (44.6%),17 (9.1%),"$19,600 ",50th Percentile,0,1,0,0,False,1,0
163,301,Ps/Middle School 498 Van Nest Academy,Public,1640 Bronxdale Ave,Bronx,10462,Bronx County,No,No,No,(718) 409-3001,652,42.0,15.5,77.9,114 (17.5%),76 (11.7%),413 (63.3%),44 (6.7%),"$15,339 ",50th Percentile,0,1,0,0,True,0,1
164,302,Is 24 Myra S Barnes,Public,750 Durant Ave,Staten Island,10308,New York County,No,No,No,(718) 982-4700,1314,105.0,12.5,44.5,980 (74.6%),21 (1.6%),211 (16.1%),79 (6.0%),"$18,603 ",50th Percentile,0,1,0,0,False,1,0
165,305,Girls Preparatory Charter School Of New York,"Public, Charter",442 E Houston St-Rm 312,New York,10002,New York County,Yes,No,No,(212) 388-0241,650,58.0,11.2,71.4,8 (1.2%),312 (48.0%),302 (46.5%),11 (1.7%),"$24,184 ",50th Percentile,0,1,0,0,False,1,0
166,309,Ps 146 Howard Beach,Public,98-01 159th Ave,Howard Beach,11414,Bronx County,No,No,No,(718) 659-3140,623,44.0,14.1,46.7,330 (53.0%),9 (1.4%),240 (38.5%),33 (5.3%),"$16,669 ",50th Percentile,0,1,0,0,False,1,0
167,312,Ps/Middle School 200 Magnet School-Global Studi,"Public, Magnet",70-10 164th St,Flushing,11365,New York County,No,Yes,No,(718) 969-7780,541,43.0,12.5,71.9,69 (12.8%),108 (20.0%),273 (50.5%),76 (14.0%),"$17,595 ",50th Percentile,0,1,0,0,False,1,0
168,325,Ps 206 Joseph F Lamb,Public,2200 Gravesend Neck Rd,Brooklyn,11229,Kings County,No,No,No,(718) 743-5598,1517,90.0,16.8,69.5,605 (39.9%),23 (1.5%),154 (10.2%),706 (46.5%),"$13,204 ",50th Percentile,0,1,0,0,False,1,0
169,327,Ps 207 Elizabeth G Leary,Public,4011 Fillmore Ave,Brooklyn,11234,Kings County,No,No,No,(718) 645-8667,1163,83.0,14.0,47.7,388 (33.4%),392 (33.7%),184 (15.8%),157 (13.5%),"$14,652 ",50th Percentile,0,1,0,0,False,1,0
170,331,Ella Baker School,Public,317 E 67th St,New York,10021,New York County,No,No,No,(212) 717-8809,324,24.0,13.4,28.1,127 (39.2%),49 (15.1%),99 (30.6%),18 (5.6%),"$16,815 ",50th Percentile,0,1,0,0,False,1,0
171,334,Middle School 131,Public,100 Hester St,New York,10002,New York County,No,No,No,(212) 219-1204,401,36.0,11.1,88.8,7 (1.7%),27 (6.7%),45 (11.2%),319 (79.6%),"$19,998 ",50th Percentile,0,1,0,0,True,0,1
172,335,Ps 232 Lindenwood,Public,153-23 83rd St,Howard Beach,11414,Bronx County,No,No,No,(718) 848-9247,954,63.0,15.1,56.3,304 (31.9%),78 (8.2%),467 (49.0%),83 (8.7%),"$13,471 ",50th Percentile,0,1,0,0,False,1,0
173,337,Conselyea Preparatory School,Public,208 N 5th St,Brooklyn,11211,Kings County,No,No,No,(718) 486-6211,488,33.0,14.7,49.2,176 (36.1%),27 (5.5%),271 (55.5%),12 (2.5%),"$14,011 ",50th Percentile,0,1,0,0,False,1,0
174,342,Michael J Petrides School (The),"Public, Alternative",715 Ocean Terr,Staten Island,10301,New York County,No,No,No,(718) 815-0186,1324,80.0,16.5,44.3,533 (40.3%),275 (20.8%),337 (25.5%),122 (9.2%),"$15,005 ",50th Percentile,0,1,0,0,False,1,0
175,343,Ps 192 Magnet School For Math And Science Inquiry (The),Public,4715 18th Ave,Brooklyn,11204,Kings County,No,No,No,(718) 633-3061,645,51.0,12.6,80.2,217 (33.6%),13 (2.0%),305 (47.3%),101 (15.7%),"$16,962 ",50th Percentile,0,1,0,0,True,0,1
176,346,Riverdale/Kingsbridge Academy (Ms/High School 141),Public,660 W 237th St,Bronx,10463,Bronx County,No,No,No,(718) 796-8516,1526,91.0,16.7,51.0,398 (26.1%),147 (9.6%),848 (55.6%),107 (7.0%),"$12,496 ",50th Percentile,0,1,0,0,False,1,0
177,347,Ps 15 Institute For Environmental Learning,Public,2195 Andrews Ave,Bronx,10453,Bronx County,No,No,No,(718) 563-0473,475,32.0,14.8,77.9,0 (0.0%),55 (11.6%),408 (85.9%),6 (1.3%),"$15,553 ",50th Percentile,0,1,0,0,True,0,1
178,348,Is 5 Walter Crowley Intermediate School (The),Public,50-40 Jacobus St,Elmhurst,11373,Kings County,No,No,No,(718) 205-6788,1791,121.0,14.8,75.5,30 (1.7%),29 (1.6%),994 (55.5%),716 (40.0%),"$13,237 ",50th Percentile,0,1,0,0,True,0,1
179,353,Is 73 Frank Sansivieri Intermediate School (The),Public,70-02 54th Ave,Maspeth,11378,Kings County,No,No,No,(718) 639-3817,1978,129.0,15.3,66.0,228 (11.5%),15 (0.8%),"1,147 (58.0%)",566 (28.6%),"$13,052 ",50th Percentile,0,1,0,0,False,1,0
180,356,Junior High School 383 Philippa Schuyler,Public,1300 Greene Ave,Brooklyn,11237,New York County,No,No,No,(718) 574-0390,912,53.0,17.2,81.7,19 (2.1%),316 (34.6%),522 (57.2%),41 (4.5%),"$13,753 ",50th Percentile,0,1,0,0,True,0,1
181,368,Jonas Bronck Academy,Public,400 E Fordham Rd,Bronx,10458,Bronx County,No,No,No,(718) 365-2502,267,21.0,12.7,85.8,5 (1.9%),37 (13.9%),204 (76.4%),12 (4.5%),"$17,025 ",50th Percentile,0,1,0,0,True,0,1
182,375,School For Inquiry And Social Justice (The),Public,1025 Morrison Ave,Bronx,10472,Bronx County,No,No,No,(718) 860-4181,507,36.0,14.0,78.3,6 (1.2%),106 (20.9%),370 (73.0%),10 (2.0%),"$14,920 ",50th Percentile,0,1,0,0,True,0,1
183,377,Brooklyn East Collegiate Charter School,"Public, Charter",832 Marcy Ave-1st Fl,Brooklyn,11216,Kings County,Yes,No,No,(718) 250-5760,310,27.0,11.4,75.8,2 (0.6%),261 (84.2%),24 (7.7%),0 (0.0%),"$16,254 ",50th Percentile,0,1,0,0,True,0,1
184,379,Junior High School 278 Marine Park,Public,1925 Stuart St,Brooklyn,11229,Kings County,No,No,No,(718) 375-3523,1202,88.0,13.6,69.6,354 (29.5%),481 (40.0%),211 (17.6%),121 (10.1%),"$15,604 ",50th Percentile,0,1,0,0,False,1,0
185,384,Ps/Is 30 Mary White Ovington,Public,7002 4th Ave,Brooklyn,11209,Kings County,No,No,No,(718) 491-8440,993,73.0,13.6,79.4,432 (43.5%),7 (0.7%),304 (30.6%),231 (23.3%),"$15,081 ",50th Percentile,0,1,0,0,True,0,1
186,386,World Journalism Preparatory: A College Board School,Public,34-65 192nd St,Flushing,11358,New York County,No,No,No,(718) 461-2219,587,39.0,15.0,60.0,225 (38.3%),22 (3.7%),224 (38.2%),98 (16.7%),"$13,788 ",50th Percentile,0,1,0,0,False,1,0
187,388,Science And Technology Academy: A Mott Hall School,Public,250 E 164th St,Bronx,10456,Bronx County,No,No,No,(718) 293-4017,448,37.0,12.2,94.0,2 (0.4%),123 (27.5%),307 (68.5%),13 (2.9%),"$15,814 ",50th Percentile,0,1,0,0,True,0,1
188,389,Ps/Is 178 Holliswood,Public,189-10 Radnor Rd,Jamaica,11423,New York County,No,No,No,(718) 464-5763,553,37.0,14.8,36.7,382 (69.1%),41 (7.4%),52 (9.4%),62 (11.2%),"$13,517 ",50th Percentile,0,1,0,0,False,1,0
189,390,Is 72 Rocco Laurie,Public,33 Ferndale Ave,Staten Island,10314,New York County,No,No,No,(718) 698-5757,1444,104.0,13.8,62.6,640 (44.3%),70 (4.8%),380 (26.3%),325 (22.5%),"$16,484 ",50th Percentile,0,1,0,0,False,1,0
190,392,Brooklyn Excelsior Charter School,"Public, Charter",856 Quincy St,Brooklyn,11221,Kings County,Yes,No,No,(718) 246-5681,631,34.0,18.5,90.5,4 (0.6%),493 (78.1%),119 (18.9%),4 (0.6%),"$17,333 ",50th Percentile,0,1,0,0,True,0,1
191,393,Ps 121 Nelson A Rockefeller,"Public, Magnet",5301 20th Ave,Brooklyn,11204,Kings County,No,Yes,No,(718) 377-8845,340,45.0,7.5,65.0,115 (33.8%),12 (3.5%),144 (42.4%),63 (18.5%),"$28,673 ",50th Percentile,0,1,0,0,False,1,0
