,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,fullt_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
524,1295,Ps 214,Public,1970 W Farms Rd,Bronx,10460,Bronx County,New York City Geographic District #12,No,No,Yes,1107,76.0,14.5,85.4,14 (1.3%),271 (24.5%),777 (70.2%),25 (2.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
525,1296,Fort Green Preparatory Academy,Public,100 Clermont Ave,Brooklyn,11205,Kings County,New York City Geographic District #13,No,No,Yes,211,21.0,10.0,91.5,2 (0.9%),137 (64.9%),57 (27.0%),7 (3.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
526,1297,Eagle Academy For Young Men Of Harlem,Public,6 Edgecombe Ave,New York,10030,New York County,New York City Geographic District # 5,No,No,Yes,377,35.0,10.7,74.8,5 (1.3%),263 (69.8%),91 (24.1%),0 (0.0%),,Bottom 25th Percentile,0,0,0,1,True,0,1
527,1298,Frederick Douglass Academy V Middle School,Public,2111 Crotona Ave,Bronx,10457,Bronx County,New York City Geographic District #12,No,No,Yes,214,14.0,15.2,89.3,0 (0.0%),75 (35.0%),129 (60.3%),6 (2.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
528,1299,Dr Susan S McKinney Secondary School Of The Arts,Public,101 Park Ave,Brooklyn,11205,Kings County,New York City Geographic District #13,No,No,Yes,318,34.0,9.3,89.3,4 (1.3%),222 (69.8%),78 (24.5%),5 (1.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
529,1301,Ps 89 Cypress Hills,Public,265 Warwick St,Brooklyn,11207,Kings County,New York City Geographic District #19,No,No,Yes,462,41.0,11.2,94.8,0 (0.0%),11 (2.4%),443 (95.9%),4 (0.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
530,1303,Frederick Douglass Academy,Public,2581 7th Ave,New York,10039,New York County,New York City Geographic District # 5,No,No,Yes,1270,78.0,16.2,77.6,32 (2.5%),857 (67.5%),334 (26.3%),15 (1.2%),,Bottom 25th Percentile,0,0,0,1,True,0,1
531,1304,Junior High School 291 Roland Hayes,Public,231 Palmetto St,Brooklyn,11221,Kings County,New York City Geographic District #32,No,No,Yes,291,25.0,11.6,94.5,4 (1.4%),41 (14.1%),243 (83.5%),2 (0.7%),,Bottom 25th Percentile,0,0,0,1,True,0,1
532,1306,Urban Assembly Academy For Future Leaders,Public,509 W 129th St,New York,10027,New York County,New York City Geographic District # 5,No,No,Yes,126,12.0,10.5,86.5,4 (3.2%),71 (56.3%),45 (35.7%),3 (2.4%),,Bottom 25th Percentile,0,0,0,1,True,0,1
533,1307,Ps/Is 323,Public,210 Chester St,Brooklyn,11212,Kings County,New York City Geographic District #23,No,No,Yes,611,35.0,17.4,93.8,6 (1.0%),466 (76.3%),117 (19.1%),11 (1.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
534,1308,Ps 123 Mahalia Jackson,Public,301 W 140th St,New York,10030,New York County,New York City Geographic District # 5,No,No,Yes,463,45.0,10.2,94.4,17 (3.7%),233 (50.3%),192 (41.5%),8 (1.7%),,Bottom 25th Percentile,0,0,0,1,True,0,1
535,1318,Junior High School 98 Herman Ridder,Public,1619 Boston Rd,Bronx,10460,Bronx County,New York City Geographic District #12,No,No,Yes,261,20.0,13.0,91.6,3 (1.1%),67 (25.7%),177 (67.8%),5 (1.9%),,Bottom 25th Percentile,0,0,0,1,True,0,1
536,1322,Ps 288 Shirley Tanyhill (The),Public,2950 W 25th St,Brooklyn,11224,Kings County,New York City Geographic District #21,No,No,Yes,616,54.0,11.4,93.7,31 (5.0%),376 (61.0%),194 (31.5%),13 (2.1%),,Bottom 25th Percentile,0,0,0,1,True,0,1
537,1324,Redwood Middle School,Public,133-25 Guy R Brewer Blvd,Jamaica,11434,Queens County,New York City Geographic District #28,No,No,Yes,343,23.0,14.9,65.0,6 (1.7%),224 (65.3%),34 (9.9%),46 (13.4%),,Bottom 25th Percentile,0,0,0,1,False,1,0
538,1326,Is 347 School Of Humanities,Public,35 Starr St,Brooklyn,11221,Kings County,New York City Geographic District #32,No,No,Yes,316,26.0,12.1,94.3,4 (1.3%),14 (4.4%),296 (93.7%),2 (0.6%),,Bottom 25th Percentile,0,0,0,1,True,0,1
539,1327,Is 117 Joseph H Wade,Public,1865 Morris Ave,Bronx,10453,Bronx County,New York City Geographic District # 9,No,No,Yes,487,40.0,12.1,95.1,6 (1.2%),91 (18.7%),383 (78.6%),2 (0.4%),,Bottom 25th Percentile,0,0,0,1,True,0,1
