,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,full_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
190,379,Ps 131 Abigail Adams,Public,170-45 84th Ave,Jamaica,11432,Queens County,New York City Geographic District #29,No,No,Yes,745,43.0,17.3,90.1,38 (5.1%),41 (5.5%),77 (10.3%),564 (75.7%),"$13,960 ",Top 25th Percentile,1,0,0,0,True,0,1
191,380,Ps 100 Coney Island School (The),Public,2951 W 3rd St,Brooklyn,11229,Kings County,New York City Geographic District #21,No,No,No,824,48.0,17.1,48.7,711 (86.3%),24 (2.9%),46 (5.6%),33 (4.0%),"$12,555 ",Top 25th Percentile,1,0,0,0,False,1,0
192,381,Ps 150,Public,40-01 43rd Ave,Long Island City,11104,Queens County,New York City Geographic District #30,No,No,Yes,1033,68.0,15.1,51.1,222 (21.5%),11 (1.1%),485 (47.0%),248 (24.0%),"$13,128 ",Top 25th Percentile,1,0,0,0,False,1,0
193,385,KIPP Infinity Charter School,"Public, Charter, Alternative",625 W 133 St-Rm 308d,New York,10027,New York County,KIPP Infinity Charter School,Yes,No,Yes,1099,81.0,13.5,87.4,14 (1.3%),294 (26.8%),781 (71.1%),2 (0.2%),"$21,139 ",Top 25th Percentile,1,0,0,0,True,0,1
194,386,Family Life Academy Charter School II,"Public, Charter",296 E 140th St,Bronx,10454,Bronx County,Family Life Academy Charter School II,Yes,No,Yes,576,33.0,17.7,90.8,1 (0.2%),134 (23.3%),435 (75.5%),2 (0.3%),"$19,521 ",Top 25th Percentile,1,0,0,0,True,0,1
195,387,Ps 102 Bayview (The),Public,211 72nd St,Brooklyn,11209,Kings County,New York City Geographic District #20,No,No,Yes,1422,98.0,14.5,61.9,757 (53.2%),15 (1.1%),383 (26.9%),223 (15.7%),"$13,836 ",Top 25th Percentile,1,0,0,0,False,1,0
196,389,Achievement First Apollo Charter School,"Public, Charter",350 Linwood St,Brooklyn,11208,Kings County,Achievement First Apollo Charter School,Yes,No,Yes,865,78.0,11.0,89.1,7 (0.8%),499 (57.7%),291 (33.6%),48 (5.5%),"$15,085 ",Top 25th Percentile,1,0,0,0,True,0,1
197,391,Ace Academy For Scholars At The Geraldine Ferraro Campus,Public,55-20 Metropolitan Ave,Ridgewood,11385,Queens County,New York City Geographic District #24,No,No,No,589,35.0,16.8,64.5,170 (28.9%),17 (2.9%),289 (49.1%),93 (15.8%),"$12,536 ",Top 25th Percentile,1,0,0,0,False,1,0
198,392,Brooklyn Ascend Charter School,"Public, Charter, Alternative",205 Rockaway Pkwy-2nd Fl,Brooklyn,11212,Kings County,Brooklyn Ascend Charter School,Yes,No,Yes,1539,131.0,11.7,83.8,2 (0.1%),"1,425 (92.6%)",77 (5.0%),8 (0.5%),"$19,633 ",Top 25th Percentile,1,0,0,0,True,0,1
199,393,Ps 163 Flushing Heights,Public,159-01 59th Ave,Flushing,11365,Queens County,New York City Geographic District #25,No,No,Yes,815,55.0,14.8,79.8,10 (1.2%),7 (0.9%),124 (15.2%),663 (81.3%),"$13,136 ",Top 25th Percentile,1,0,0,0,True,0,1
200,394,Ps 69 Journey Prep School,Public,560 Theriot Ave,Bronx,10473,Bronx County,New York City Geographic District # 8,No,No,Yes,635,45.0,14.1,83.9,11 (1.7%),97 (15.3%),503 (79.2%),7 (1.1%),"$15,176 ",Top 25th Percentile,1,0,0,0,True,0,1
201,403,Imagine Me Leadership Charter School,"Public, Charter",818 Schenck Ave,Brooklyn,11207,Kings County,Imagine Me Leadership Charter School,Yes,No,Yes,225,24.0,9.3,80.4,1 (0.4%),179 (79.6%),34 (15.1%),2 (0.9%),"$17,365 ",Top 25th Percentile,1,0,0,0,True,0,1
202,406,Sisulu-Walker Charter School Of Harlem,"Public, Charter",125 W 115th St,New York,10026,New York County,Sisulu-Walker Charter School Of Harlem,Yes,No,Yes,220,11.0,20.0,85.0,0 (0.0%),171 (77.7%),38 (17.3%),0 (0.0%),"$18,192 ",Top 25th Percentile,1,0,0,0,True,0,1
203,407,Ps 304 Early Childhood School,Public,2750 Lafayette Ave,Bronx,10465,Bronx County,New York City Geographic District # 8,No,No,Yes,514,36.0,14.2,66.1,88 (17.1%),37 (7.2%),343 (66.7%),40 (7.8%),"$16,787 ",Top 25th Percentile,1,0,0,0,False,1,0
204,408,Bronx Charter School For Excellence,"Public, Charter",1960 Benedict Ave,Bronx,10462,Bronx County,Bronx Charter School For Excellence,Yes,No,Yes,805,44.0,18.2,79.4,4 (0.5%),308 (38.3%),268 (33.3%),224 (27.8%),"$16,291 ",Top 25th Percentile,1,0,0,0,True,0,1
205,412,Ps 176 Ovington,Public,1225 69th St,Brooklyn,11219,Kings County,New York City Geographic District #20,No,No,Yes,1295,94.0,13.7,85.1,138 (10.7%),6 (0.5%),260 (20.1%),879 (67.9%),"$13,343 ",Top 25th Percentile,1,0,0,0,True,0,1
206,413,Canarsie Ascend Charter School,"Public, Charter",9719 Flatlands Ave,Brooklyn,11236,Kings County,Canarsie Ascend Charter School,Yes,No,Yes,865,65.0,13.3,74.7,7 (0.8%),788 (91.1%),52 (6.0%),1 (0.1%),"$20,404 ",Top 25th Percentile,1,0,0,0,True,0,1
207,418,Excellence Girls Charter School,"Public, Charter, Alternative",794 Monroe St-3rd Fl,Brooklyn,11221,Kings County,Excellence Girls Charter School,Yes,No,Yes,1443,123.0,11.7,67.6,15 (1.0%),"1,108 (76.8%)",240 (16.6%),25 (1.7%),"$15,263 ",Top 25th Percentile,1,0,0,0,False,1,0
208,420,Academy Of The City Charter School,"Public, Charter",31-29 60th St,Woodside,11377,Queens County,Academy Of The City Charter School,Yes,No,Yes,411,19.0,21.6,70.1,67 (16.3%),33 (8.0%),218 (53.0%),92 (22.4%),"$19,350 ",Top 25th Percentile,1,0,0,0,False,1,0
209,422,Ella Baker School,Public,317 E 67th St,New York,10021,New York County,New York City Geographic District # 2,No,No,No,324,24.0,13.4,28.1,127 (39.2%),49 (15.1%),99 (30.6%),18 (5.6%),"$16,815 ",Top 25th Percentile,1,0,0,0,False,1,0
210,426,Yorkville Community School,Public,421 E 88th St,New York,10128,New York County,New York City Geographic District # 2,No,No,No,486,38.0,12.7,37.9,238 (49.0%),73 (15.0%),113 (23.3%),28 (5.8%),"$15,032 ",Top 25th Percentile,1,0,0,0,False,1,0
211,427,Achievement First Crown Heights Charter School,"Public, Charter, Alternative",790 E New York Ave,Brooklyn,11203,Kings County,Achievement First Crown Heights Charter School,Yes,No,Yes,1287,82.0,15.6,76.3,5 (0.4%),"1,187 (92.2%)",74 (5.7%),1 (0.1%),"$17,726 ",Top 25th Percentile,1,0,0,0,True,0,1
212,431,Achievement First Aspire Charter School,"Public, Charter",982 Hegeman Ave,Brooklyn,11208,Kings County,Achievement First Aspire Charter School,Yes,No,Yes,638,63.0,10.1,83.5,3 (0.5%),469 (73.5%),138 (21.6%),11 (1.7%),"$16,366 ",Top 25th Percentile,1,0,0,0,True,0,1
213,432,Ps 155,Public,130-02 115th Ave,South Ozone Park,11420,Queens County,New York City Geographic District #27,No,No,Yes,550,33.0,16.6,87.3,7 (1.3%),120 (21.8%),120 (21.8%),147 (26.7%),"$13,654 ",Top 25th Percentile,1,0,0,0,True,0,1
214,434,Harlem Village Academy East Charter School,"Public, Charter, Alternative",2351 1st Ave-4th Fl,New York,10035,New York County,Harlem Village Academy East Charter School,Yes,No,Yes,676,60.0,11.3,78.0,5 (0.7%),429 (63.5%),221 (32.7%),1 (0.1%),"$18,534 ",Top 25th Percentile,1,0,0,0,True,0,1
215,437,Ps 215 Morris H Weiss,Public,415 Ave S,Brooklyn,11223,Kings County,New York City Geographic District #21,No,No,Yes,834,51.0,16.3,69.4,387 (46.4%),12 (1.4%),211 (25.3%),213 (25.5%),"$15,064 ",Top 25th Percentile,1,0,0,0,False,1,0
216,439,Ps 166 Henry Gradstein,Public,33-09 35th Ave,Long Island City,11106,Queens County,New York City Geographic District #30,No,No,Yes,998,62.0,16.0,66.7,255 (25.6%),42 (4.2%),426 (42.7%),232 (23.2%),"$13,086 ",Top 25th Percentile,1,0,0,0,False,1,0
217,440,Ps 205 Clarion,Public,6701 20th Ave,Brooklyn,11204,Kings County,New York City Geographic District #20,No,No,Yes,1307,95.0,13.7,64.3,248 (19.0%),16 (1.2%),281 (21.5%),754 (57.7%),"$15,732 ",Top 25th Percentile,1,0,0,0,False,1,0
218,441,Ps 42 Benjamin Altman,Public,71 Hester St,New York,10002,New York County,New York City Geographic District # 2,No,No,Yes,575,46.0,12.5,69.9,22 (3.8%),8 (1.4%),43 (7.5%),498 (86.6%),"$18,677 ",Top 25th Percentile,1,0,0,0,False,1,0
219,450,Ps 163 Alfred E Smith,Public,163 W 97th St,New York,10025,New York County,New York City Geographic District # 3,No,No,No,547,41.0,13.3,49.0,153 (28.0%),99 (18.1%),227 (41.5%),35 (6.4%),"$17,390 ",Top 25th Percentile,1,0,0,0,False,1,0
220,452,Ps 277 Gerritsen Beach,Public,2529 Gerritsen Ave,Brooklyn,11229,Kings County,New York City Geographic District #22,No,No,No,429,33.0,12.9,49.0,295 (68.8%),9 (2.1%),52 (12.1%),66 (15.4%),"$18,076 ",Top 25th Percentile,1,0,0,0,False,1,0
221,453,Ps 133 William A Butler,Public,610 Baltic St,Brooklyn,11217,Kings County,New York City Geographic District #13,No,No,Yes,752,58.0,12.9,33.5,229 (30.5%),186 (24.7%),249 (33.1%),26 (3.5%),"$14,499 ",Top 25th Percentile,1,0,0,0,False,1,0
222,455,Ps 84 Steinway,Public,22-45 41st St,Astoria,11105,Queens County,New York City Geographic District #30,No,No,Yes,289,22.0,13.1,53.6,127 (43.9%),18 (6.2%),115 (39.8%),20 (6.9%),"$16,954 ",Top 25th Percentile,1,0,0,0,False,1,0
223,459,Ps 21 Edward Hart,Public,147-36 26th Ave,Flushing,11354,Queens County,New York City Geographic District #25,No,No,Yes,1347,89.0,15.1,75.9,68 (5.0%),13 (1.0%),400 (29.7%),848 (63.0%),"$13,831 ",Top 25th Percentile,1,0,0,0,True,0,1
224,460,Excellence Boys Charter School Of Bedford Stuyvesant,"Public, Charter",225 Patchen Ave,Brooklyn,11233,Kings County,Excellence Boys Charter School Of Bedford Stuyvesant,Yes,No,Yes,767,68.0,11.2,65.6,14 (1.8%),625 (81.5%),81 (10.6%),21 (2.7%),"$16,204 ",Top 25th Percentile,1,0,0,0,False,1,0
225,462,Ps 84 Lillian Weber,Public,32 W 92nd St,New York,10025,New York County,New York City Geographic District # 3,No,No,No,664,49.0,13.5,37.5,336 (50.6%),46 (6.9%),218 (32.8%),27 (4.1%),"$15,048 ",Top 25th Percentile,1,0,0,0,False,1,0
226,466,Ps 60 Woodhaven,Public,91-02 88th Ave,Woodhaven,11421,Queens County,New York City Geographic District #27,No,No,Yes,1185,76.0,15.5,81.6,39 (3.3%),36 (3.0%),855 (72.2%),200 (16.9%),"$13,472 ",Top 25th Percentile,1,0,0,0,True,0,1
227,467,Ps 65 Academy Of Innovative Learning (The),Public,98 Grant St,Staten Island,10301,Richmond County,New York City Geographic District #31,No,No,Yes,437,33.0,13.2,63.8,93 (21.3%),77 (17.6%),225 (51.5%),10 (2.3%),"$18,003 ",Top 25th Percentile,1,0,0,0,False,1,0
228,470,Ps 33 Chelsea Prep,Public,281 9th Ave,New York,10001,New York County,New York City Geographic District # 2,No,No,No,638,42.0,15.1,48.6,130 (20.4%),121 (19.0%),180 (28.2%),148 (23.2%),"$12,813 ",Top 25th Percentile,1,0,0,0,False,1,0
229,475,Ps 30 Westerleigh,Public,200 Wardwell Ave,Staten Island,10314,Richmond County,New York City Geographic District #31,No,No,No,824,55.0,14.9,38.0,487 (59.1%),24 (2.9%),199 (24.2%),85 (10.3%),"$17,138 ",Top 25th Percentile,1,0,0,0,False,1,0
230,477,Ps 32 Gifford School (The),Public,32 Elverton Ave,Staten Island,10308,Richmond County,New York City Geographic District #31,No,No,No,677,42.0,16.1,34.3,489 (72.2%),3 (0.4%),113 (16.7%),59 (8.7%),"$16,047 ",Top 25th Percentile,1,0,0,0,False,1,0
231,479,Ps 102 Bayview,Public,55-24 Van Horn St,Elmhurst,11373,Queens County,New York City Geographic District #24,No,No,Yes,1290,90.0,14.3,83.4,37 (2.9%),38 (2.9%),406 (31.5%),760 (58.9%),"$13,335 ",Top 25th Percentile,1,0,0,0,True,0,1
232,480,Ps 127 McKinley Park,Public,7805 7th Ave,Brooklyn,11228,Kings County,New York City Geographic District #20,No,No,Yes,502,39.0,12.8,81.1,172 (34.3%),3 (0.6%),118 (23.5%),204 (40.6%),"$16,851 ",Top 25th Percentile,1,0,0,0,True,0,1
233,483,Ps 49 Dorothy Bonawit Kole,Public,63-60 80th St,Middle Village,11379,Queens County,New York City Geographic District #24,No,No,No,1198,71.0,16.8,50.8,647 (54.0%),13 (1.1%),284 (23.7%),233 (19.4%),"$11,685 ",Top 25th Percentile,1,0,0,0,False,1,0
234,485,Ps 165 Edith K Bergtraum,Public,70-35 150th St,Flushing,11367,Queens County,New York City Geographic District #25,No,No,Yes,731,88.0,8.3,67.4,95 (13.0%),83 (11.4%),147 (20.1%),391 (53.5%),"$23,650 ",Top 25th Percentile,1,0,0,0,False,1,0
235,489,Ps 146 Howard Beach,Public,98-01 159th Ave,Howard Beach,11414,Queens County,New York City Geographic District #27,No,No,No,623,44.0,14.1,46.7,330 (53.0%),9 (1.4%),240 (38.5%),33 (5.3%),"$16,669 ",Top 25th Percentile,1,0,0,0,False,1,0
236,492,Ps 56 Louis Desario School (The),Public,250 Kramer Ave,Staten Island,10309,Richmond County,New York City Geographic District #31,No,No,No,574,43.0,13.3,31.4,436 (76.0%),6 (1.0%),98 (17.1%),30 (5.2%),"$20,194 ",Top 25th Percentile,1,0,0,0,False,1,0
237,494,Ps 12 James B Colgate,Public,42-00 72nd St,Woodside,11377,Queens County,New York City Geographic District #24,No,No,Yes,1161,75.0,15.4,86.5,38 (3.3%),1 (0.1%),471 (40.6%),637 (54.9%),"$14,088 ",Top 25th Percentile,1,0,0,0,True,0,1
238,496,Ps 38 Pacific (The),Public,450 Pacific St,Brooklyn,11217,Kings County,New York City Geographic District #15,No,No,No,619,38.0,16.2,48.0,139 (22.5%),187 (30.2%),142 (22.9%),101 (16.3%),"$12,439 ",Top 25th Percentile,1,0,0,0,False,1,0
239,502,Community Roots Charter School,"Public, Charter",51 St Edwards St-3rd Fl,Brooklyn,11205,Kings County,Community Roots Charter School,Yes,No,Yes,473,51.0,9.2,26.4,201 (42.5%),127 (26.8%),81 (17.1%),23 (4.9%),"$20,195 ",Top 25th Percentile,1,0,0,0,False,1,0
240,503,Ps 219 Paul Klapper,Public,144-39 Gravett Rd,Flushing,11367,Queens County,New York City Geographic District #25,No,No,Yes,622,76.0,8.1,71.7,84 (13.5%),42 (6.8%),181 (29.1%),308 (49.5%),"$25,954 ",Top 25th Percentile,1,0,0,0,False,1,0
241,507,Ps 376,Public,194 Harman St,Brooklyn,11237,Kings County,New York City Geographic District #32,No,No,Yes,522,34.0,15.3,82.4,19 (3.6%),44 (8.4%),441 (84.5%),11 (2.1%),"$14,880 ",Top 25th Percentile,1,0,0,0,True,0,1
242,514,Ps 169 Bay Terrace,Public,18-25 212th St,Bayside,11360,Queens County,New York City Geographic District #25,No,No,No,428,31.0,13.7,34.8,134 (31.3%),19 (4.4%),113 (26.4%),147 (34.3%),"$17,028 ",Top 25th Percentile,1,0,0,0,False,1,0
243,515,Ps 9 Teunis G Bergen,Public,80 Underhill Ave,Brooklyn,11238,Kings County,New York City Geographic District #13,No,No,No,942,55.0,17.1,35.9,288 (30.6%),389 (41.3%),152 (16.1%),68 (7.2%),"$13,455 ",Top 25th Percentile,1,0,0,0,False,1,0
244,519,Wave Preparatory Elementary School,Public,535 Briar Pl,Far Rockaway,11691,Queens County,New York City Geographic District #27,No,No,Yes,546,31.0,17.6,87.7,1 (0.2%),217 (39.7%),313 (57.3%),7 (1.3%),"$13,998 ",Top 25th Percentile,1,0,0,0,True,0,1
245,521,Ps 26 Carteret School (The),Public,4108 Victory Blvd,Staten Island,10314,Richmond County,New York City Geographic District #31,No,No,No,295,23.0,12.8,45.4,145 (49.2%),14 (4.7%),89 (30.2%),37 (12.5%),"$16,410 ",Top 25th Percentile,1,0,0,0,False,1,0
246,522,Achievement First Brownsville Charter School,"Public, Charter, Alternative",2021 Bergen St-Rm 149,Brooklyn,11233,Kings County,Achievement First Brownsville Charter School,Yes,No,Yes,1099,60.0,18.3,74.9,11 (1.0%),932 (84.8%),133 (12.1%),9 (0.8%),"$17,816 ",Top 25th Percentile,1,0,0,0,True,0,1
247,524,Leadership Preparatory Canarsie Charter School,"Public, Charter",1070 E 104th St,Brooklyn,11236,Kings County,Leadership Preparatory Canarsie Charter School,Yes,No,Yes,794,64.0,12.4,79.3,5 (0.6%),728 (91.7%),43 (5.4%),2 (0.3%),"$13,447 ",Top 25th Percentile,1,0,0,0,True,0,1
248,526,Bedford Stuyvesant New Beginnings Charter School,"Public, Charter",82 Lewis Ave,Brooklyn,11206,Kings County,Bedford Stuyvesant New Beginnings Charter School,Yes,No,Yes,702,76.0,9.2,90.0,6 (0.9%),346 (49.3%),341 (48.6%),0 (0.0%),"$21,496 ",Top 25th Percentile,1,0,0,0,True,0,1
249,527,Ps 32 Samuel Mills Sprole,Public,317 Hoyt St,Brooklyn,11231,Kings County,New York City Geographic District #15,No,No,No,473,64.0,7.3,41.6,194 (41.0%),100 (21.1%),106 (22.4%),45 (9.5%),"$28,875 ",Top 25th Percentile,1,0,0,0,False,1,0
250,534,KIPP Nyc Washington Heights Academy Charter School,"Public, Charter",21 Jumel Pl-Rm D109,New York,10032,New York County,KIPP Nyc Washington Heights Academy Charter School,Yes,No,Yes,1050,76.0,13.8,88.8,9 (0.9%),110 (10.5%),923 (87.9%),0 (0.0%),"$20,079 ",Top 25th Percentile,1,0,0,0,True,0,1
251,535,Bushwick Ascend Charter School,"Public, Charter",751 Knickerbocker Ave,Brooklyn,11221,Kings County,Bushwick Ascend Charter School,Yes,No,Yes,887,63.0,14.0,88.5,8 (0.9%),192 (21.6%),672 (75.8%),8 (0.9%),"$20,009 ",Top 25th Percentile,1,0,0,0,True,0,1
252,536,Leadership Preparatory Brownsville Charter School,"Public, Charter",985 Rockaway Ave-3rd Fl,Brooklyn,11212,Kings County,Leadership Preparatory Brownsville Charter School,Yes,No,Yes,789,65.0,12.1,87.1,4 (0.5%),661 (83.8%),111 (14.1%),0 (0.0%),"$13,836 ",Top 25th Percentile,1,0,0,0,True,0,1
253,540,Ps 96,Public,130-01 Rockaway Blvd,South Ozone Park,11420,Queens County,New York City Geographic District #27,No,No,Yes,313,19.0,16.4,83.4,14 (4.5%),59 (18.8%),48 (15.3%),135 (43.1%),"$13,983 ",Top 25th Percentile,1,0,0,0,True,0,1
254,542,Harriet Tubman Charter School,"Public, Charter",3565 3rd Ave,Bronx,10456,Bronx County,Harriet Tubman Charter School,Yes,No,Yes,682,54.0,12.6,98.5,5 (0.7%),418 (61.3%),246 (36.1%),1 (0.1%),"$16,694 ",Top 25th Percentile,1,0,0,0,True,0,1
255,549,Ps 316 Elijah Stroud,Public,750 Classon Ave,Brooklyn,11238,Kings County,New York City Geographic District #17,No,No,Yes,573,41.0,13.9,64.9,61 (10.6%),388 (67.7%),95 (16.6%),11 (1.9%),"$19,622 ",Top 25th Percentile,1,0,0,0,False,1,0
256,550,Ps 126 Jacob August Riis,Public,80 Catherine St,New York,10038,New York County,New York City Geographic District # 2,No,No,Yes,711,56.0,12.6,76.5,47 (6.6%),60 (8.4%),122 (17.2%),457 (64.3%),"$16,880 ",Top 25th Percentile,1,0,0,0,True,0,1
257,551,Ps 110 Monitor (The),Public,124 Monitor St,Brooklyn,11222,Kings County,New York City Geographic District #14,No,No,No,555,33.0,16.8,23.4,394 (71.0%),8 (1.4%),102 (18.4%),32 (5.8%),"$12,218 ",Top 25th Percentile,1,0,0,0,False,1,0
258,552,Ps 132 Conselyea School (The),Public,320 Manhattan Ave,Brooklyn,11211,Kings County,New York City Geographic District #14,No,No,Yes,755,44.0,17.1,38.3,334 (44.2%),106 (14.0%),243 (32.2%),47 (6.2%),"$12,511 ",Top 25th Percentile,1,0,0,0,False,1,0
259,554,Harlem Children's Zone Promise Academy Charter School,"Public, Charter, Alternative",245 W 129th St,New York,10027,New York County,Harlem Children's Zone Promise Academy Charter School,Yes,No,Yes,1142,66.0,17.3,84.5,11 (1.0%),913 (79.9%),196 (17.2%),2 (0.2%),"$22,173 ",Top 25th Percentile,1,0,0,0,True,0,1
260,557,KIPP Star College Prep Charter School,"Public, Charter",433 W 123rd St-4th Fl,New York,10027,New York County,KIPP Star College Prep Charter School,Yes,No,Yes,1001,66.0,15.1,83.7,5 (0.5%),482 (48.2%),477 (47.7%),5 (0.5%),"$19,890 ",Top 25th Percentile,1,0,0,0,True,0,1
261,558,Family Life Academy Charter School III,"Public, Charter",370 Gerard Ave,Bronx,10451,Bronx County,Family Life Academy Charter School III,Yes,No,Yes,255,15.0,17.5,89.4,0 (0.0%),87 (34.1%),164 (64.3%),1 (0.4%),"$19,357 ",Top 25th Percentile,1,0,0,0,True,0,1
262,561,Ps 108 Captain Vincent G Fowler,Public,108-10 109th Ave,South Ozone Park,11420,Queens County,New York City Geographic District #27,No,No,Yes,1410,94.0,15.0,81.5,80 (5.7%),80 (5.7%),808 (57.3%),432 (30.6%),"$12,747 ",Top 25th Percentile,1,0,0,0,True,0,1
263,565,Ps 95 Gravesend (The),Public,345 Van Sicklen St,Brooklyn,11223,Kings County,New York City Geographic District #21,No,No,Yes,985,66.0,14.9,69.9,220 (22.3%),73 (7.4%),324 (32.9%),359 (36.4%),"$14,667 ",Top 25th Percentile,1,0,0,0,False,1,0
264,568,Ps 85 Judge Charles Vallone,Public,23-70 31st St,Long Island City,11105,Queens County,New York City Geographic District #30,No,No,Yes,637,38.0,16.7,39.6,309 (48.5%),16 (2.5%),176 (27.6%),109 (17.1%),"$14,348 ",Top 25th Percentile,1,0,0,0,False,1,0
265,569,Bronx Academy Of Promise Charter School,"Public, Charter",1349 Inwood Ave,Bronx,10452,Bronx County,Bronx Academy Of Promise Charter School,Yes,No,Yes,599,,,92.8,2 (0.3%),235 (39.2%),344 (57.4%),11 (1.8%),"$18,452 ",Top 25th Percentile,1,0,0,0,True,0,1
266,572,Ps 164 Caesar Rodney,Public,4211 14th Ave,Brooklyn,11219,Kings County,New York City Geographic District #20,No,No,Yes,680,53.0,12.8,80.7,90 (13.2%),8 (1.2%),280 (41.2%),294 (43.2%),"$16,789 ",Top 25th Percentile,1,0,0,0,True,0,1
267,573,Ps 161 Arthur Ashe School,Public,101-33 124th St,Jamaica,11419,Queens County,New York City Geographic District #28,No,No,Yes,637,47.0,13.5,84.8,17 (2.7%),38 (6.0%),76 (11.9%),429 (67.3%),"$16,598 ",Top 25th Percentile,1,0,0,0,True,0,1
268,578,Ps 152 Gwendoline N Alleyne School,Public,33-52 62nd St,Woodside,11377,Queens County,New York City Geographic District #30,No,No,Yes,1017,72.0,14.1,74.1,39 (3.8%),4 (0.4%),415 (40.8%),537 (52.8%),"$14,849 ",Top 25th Percentile,1,0,0,0,True,0,1
269,579,Ps 6 Corporal Allan F Kivlehan School,Public,555 Page Ave,Staten Island,10307,Richmond County,New York City Geographic District #31,No,No,No,532,48.0,11.0,40.8,416 (78.2%),3 (0.6%),100 (18.8%),7 (1.3%),"$26,338 ",Top 25th Percentile,1,0,0,0,False,1,0
270,582,Ps 121 Nelson A Rockefeller,"Public, Magnet",5301 20th Ave,Brooklyn,11204,Kings County,New York City Geographic District #21,No,Yes,Yes,340,45.0,7.5,65.0,115 (33.8%),12 (3.5%),144 (42.4%),63 (18.5%),"$28,673 ",Top 25th Percentile,1,0,0,0,False,1,0
271,584,Ps 4 Maurice Wollin,Public,200 Nedra Lane,Staten Island,10312,Richmond County,New York City Geographic District #31,No,No,No,676,79.0,8.5,37.9,430 (63.6%),18 (2.7%),131 (19.4%),77 (11.4%),"$28,648 ",Top 25th Percentile,1,0,0,0,False,1,0
272,585,Ps 19 Judith K Weiss,Public,4318 Katonah Ave,Bronx,10470,Bronx County,New York City Geographic District #11,No,No,No,528,33.0,15.9,51.5,323 (61.2%),32 (6.1%),142 (26.9%),15 (2.8%),"$14,096 ",Top 25th Percentile,1,0,0,0,False,1,0
273,587,Brilla College Preparatory Charter School,"Public, Charter",413 E 144th St,Bronx,10454,Bronx County,Brilla College Preparatory Charter School,Yes,No,Yes,572,51.0,11.2,87.1,8 (1.4%),133 (23.3%),423 (74.0%),2 (0.3%),"$21,546 ",Top 25th Percentile,1,0,0,0,True,0,1
274,590,Ps 29 Bardwell,Public,1581 Victory Blvd,Staten Island,10314,Richmond County,New York City Geographic District #31,No,No,No,603,38.0,15.8,53.2,294 (48.8%),43 (7.1%),134 (22.2%),109 (18.1%),"$15,922 ",Top 25th Percentile,1,0,0,0,False,1,0
275,593,Ps 1 Tottenville,Public,58 Summit St,Staten Island,10307,Richmond County,New York City Geographic District #31,No,No,No,445,38.0,11.7,39.8,337 (75.7%),4 (0.9%),86 (19.3%),15 (3.4%),"$19,458 ",Top 25th Percentile,1,0,0,0,False,1,0
276,595,Ps 120,Public,58-01 136th St,Flushing,11355,Queens County,New York City Geographic District #25,No,No,Yes,993,65.0,15.2,71.0,9 (0.9%),4 (0.4%),145 (14.6%),826 (83.2%),"$13,690 ",Top 25th Percentile,1,0,0,0,False,1,0
277,597,Ps 15 Roberto Clemente,Public,333 E 4th St,New York,10009,New York County,New York City Geographic District # 1,No,No,Yes,171,25.0,6.8,83.0,6 (3.5%),47 (27.5%),94 (55.0%),19 (11.1%),"$33,283 ",Top 25th Percentile,1,0,0,0,True,0,1
278,598,Ps 42 Eltingville,Public,380 Genesee Ave,Staten Island,10312,Richmond County,New York City Geographic District #31,No,No,No,1055,73.0,14.4,31.8,769 (72.9%),16 (1.5%),140 (13.3%),117 (11.1%),"$16,347 ",50th Percentile,0,1,0,0,False,1,0
279,599,East Village Community School (The),Public,610 E 12th St,New York,10009,New York County,New York City Geographic District # 1,No,No,No,333,24.0,13.8,27.0,191 (57.4%),15 (4.5%),77 (23.1%),32 (9.6%),"$14,908 ",50th Percentile,0,1,0,0,False,1,0
280,601,Ps 138,Public,760 Prospect Pl,Brooklyn,11216,Kings County,New York City Geographic District #17,No,No,Yes,533,43.0,12.3,84.8,30 (5.6%),430 (80.7%),59 (11.1%),7 (1.3%),"$20,137 ",50th Percentile,0,1,0,0,True,0,1
281,602,Ps 312 Bergen Beach,Public,7103 Ave T,Brooklyn,11234,Kings County,New York City Geographic District #22,No,No,No,779,50.0,15.5,54.7,312 (40.1%),288 (37.0%),116 (14.9%),40 (5.1%),"$16,106 ",50th Percentile,0,1,0,0,False,1,0
282,603,Central Brooklyn Ascend Charter School,"Public, Charter",465 E 29th St,Brooklyn,11226,Kings County,Central Brooklyn Ascend Charter School,Yes,No,Yes,553,38.0,14.5,79.2,4 (0.7%),483 (87.3%),39 (7.1%),4 (0.7%),"$22,943 ",50th Percentile,0,1,0,0,True,0,1
283,605,Ps 229 Emanuel Kaplan,Public,67-25 51st Rd,Woodside,11377,Queens County,New York City Geographic District #24,No,No,Yes,1407,87.0,16.1,69.6,278 (19.8%),27 (1.9%),576 (40.9%),518 (36.8%),"$14,345 ",50th Percentile,0,1,0,0,False,1,0
