,ranking,school_name,school_type,address,city,zipcode,county,district,is_charter,is_magnet,is_title_i,total_students,full_time_teachers,student_teacher_ratio,free_lunch_recipient,white,black,hispanic,asian,total_expenditure_per_pupil,ranking_quartile,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high,lunch_eligibity_high_False,lunch_eligibity_high_True
808,2101,Ps 195 William Haberle,"Public, Magnet",253-50 149th Ave,Rosedale,11422,Queens County,New York City Geographic District #29,No,Yes,Yes,530,35.0,15.1,82.6,2 (0.4%),476 (89.8%),38 (7.2%),7 (1.3%),,Bottom 25th Percentile,0,0,0,1,True,0,1
809,2104,Luisa Pineiro Fuentes School Of Science And Discovery,Public,124 Eames Pl,Bronx,10468,Bronx County,New York City Geographic District #10,No,No,Yes,345,28.0,12.3,82.6,6 (1.7%),18 (5.2%),302 (87.5%),18 (5.2%),,Bottom 25th Percentile,0,0,0,1,True,0,1
810,2105,Ps 243 Weeksville School (The),Public,1580 Dean St,Brooklyn,11213,Kings County,New York City Geographic District #16,No,No,Yes,246,22.0,11.1,92.7,2 (0.8%),172 (69.9%),56 (22.8%),9 (3.7%),,Bottom 25th Percentile,0,0,0,1,True,0,1
811,2107,Fort Hill Collaborative Elementary School,Public,80 Monroe Ave,Staten Island,10301,Richmond County,New York City Geographic District #31,No,No,Yes,183,21.0,8.7,94.0,17 (9.3%),43 (23.5%),101 (55.2%),16 (8.7%),,Bottom 25th Percentile,0,0,0,1,True,0,1
812,2108,Ps 78 Anne Hutchinson,Public,1400 Needham Ave,Bronx,10469,Bronx County,New York City Geographic District #11,No,No,Yes,816,53.0,15.3,81.5,19 (2.3%),577 (70.7%),201 (24.6%),10 (1.2%),,Bottom 25th Percentile,0,0,0,1,True,0,1
813,2113,Archer Elementary School,Public,1827 Archer St,Bronx,10460,Bronx County,New York City Geographic District #12,No,No,Yes,485,38.0,12.7,95.5,10 (2.1%),113 (23.3%),277 (57.1%),67 (13.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
814,2120,Ps 298 Dr Betty Shabazz,Public,85 Watkins St,Brooklyn,11212,Kings County,New York City Geographic District #23,No,No,Yes,278,14.0,19.8,97.8,4 (1.4%),189 (68.0%),73 (26.3%),5 (1.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
815,2122,Ps 100 Isaac Clason,Public,800 Taylor Ave,Bronx,10473,Bronx County,New York City Geographic District # 8,No,No,Yes,549,43.0,12.7,83.2,8 (1.5%),146 (26.6%),376 (68.5%),2 (0.4%),,Bottom 25th Percentile,0,0,0,1,True,0,1
816,2127,Ps 41 Francis White,Public,411 Thatford Ave,Brooklyn,11212,Kings County,New York City Geographic District #23,No,No,Yes,400,35.0,11.4,96.8,7 (1.8%),236 (59.0%),135 (33.8%),2 (0.5%),,Bottom 25th Percentile,0,0,0,1,True,0,1
817,2128,Ps/Middle School 147 Ronald McNair,Public,218-01 116th Ave,Cambria Heights,11411,Queens County,New York City Geographic District #29,No,No,Yes,551,42.0,13.1,68.8,4 (0.7%),484 (87.8%),46 (8.3%),10 (1.8%),,Bottom 25th Percentile,0,0,0,1,False,1,0
818,2129,Ps 396,Public,1930 Andrews Ave,Bronx,10453,Bronx County,New York City Geographic District #10,No,No,Yes,288,53.0,5.4,93.1,1 (0.3%),51 (17.7%),232 (80.6%),2 (0.7%),,Bottom 25th Percentile,0,0,0,1,True,0,1
819,2130,Ps 114 Luis Llorens Torres School,Public,1155 Cromwell Ave,Bronx,10452,Bronx County,New York City Geographic District # 9,No,No,Yes,717,48.0,14.9,95.3,21 (2.9%),159 (22.2%),503 (70.2%),25 (3.5%),,Bottom 25th Percentile,0,0,0,1,True,0,1
820,2133,Ps 74 Future Leaders Elementary School,Public,211 Daniel Low Terr,Staten Island,10301,Richmond County,New York City Geographic District #31,No,No,Yes,295,26.0,11.3,88.5,16 (5.4%),84 (28.5%),174 (59.0%),18 (6.1%),,Bottom 25th Percentile,0,0,0,1,True,0,1
821,2135,Ps 67 Charles A Dorsey,Public,51 St Edwards St,Brooklyn,11205,Kings County,New York City Geographic District #13,No,No,Yes,212,17.0,12.4,98.1,6 (2.8%),129 (60.8%),64 (30.2%),8 (3.8%),,Bottom 25th Percentile,0,0,0,1,True,0,1
