zipcode,walkable_false,walkable_true,health_level_dead,health_level_fair,health_level_good,health_level_poor,ada_access_no,ada_access_yes,ada_access_partial,type_is_active_cleanup_mild_threat,type_is_active_significant_threat,type_is_completed_clean,type_is_maintain_continued_threat,type_is_potential_threat,type_is_felony,type_is_violation,type_is_misdemeanor,danger_level_is_high,danger_level_is_low,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile,lunch_eligibity_high_False,lunch_eligibity_high_True,type_is_Top 25th Percentile,type_is_50th Percentile,type_is_75th Percentile,type_is_Bottom 25th Percentile
10028,0.0,40.0,91.0,354.0,1229.0,132.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10029,0.0,21.0,181.0,542.0,1579.0,121.0,1.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,414.0,311.0,835.0,184.0,1376.0,5.0,13.0,3.0,5.0,4.0,6.0,5.0,8.0,2.0,4.0,1.0,6.0,0.0,7.0,1.0,1.0,2.0,3.0
10030,0.0,15.0,52.0,209.0,1067.0,37.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,517.0,397.0,1035.0,119.0,1830.0,0.0,8.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0
10031,0.0,7.0,131.0,418.0,1912.0,126.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,296.0,197.0,723.0,98.0,1118.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0
10032,0.0,17.0,145.0,418.0,1481.0,173.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,275.0,653.0,190.0,1195.0,1.0,5.0,1.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
10033,0.0,14.0,119.0,414.0,1301.0,137.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,397.0,198.0,540.0,119.0,1016.0,1.0,5.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0
10034,0.0,7.0,68.0,378.0,1013.0,115.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,205.0,118.0,298.0,72.0,549.0,2.0,5.0,2.0,1.0,1.0,3.0,1.0,5.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
10035,0.0,6.0,141.0,292.0,1438.0,139.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,220.0,154.0,459.0,76.0,757.0,0.0,10.0,2.0,3.0,1.0,4.0,0.0,8.0,1.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0
10036,0.0,22.0,71.0,158.0,605.0,60.0,2.0,4.0,0.0,3.0,0.0,9.0,0.0,0.0,819.0,289.0,1090.0,286.0,1912.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0
10037,0.0,1.0,39.0,114.0,512.0,33.0,8.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,565.0,283.0,930.0,205.0,1573.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10038,0.0,16.0,18.0,87.0,251.0,18.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,153.0,135.0,288.0,32.0,544.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0
10039,0.0,5.0,29.0,92.0,664.0,16.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,497.0,361.0,839.0,169.0,1528.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
10040,0.0,12.0,109.0,337.0,1012.0,102.0,9.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,309.0,154.0,480.0,113.0,830.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0
10041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,44.0,121.0,15.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10044,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,47.0,87.0,10.0,193.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10048,0.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10065,0.0,48.0,80.0,457.0,1217.0,157.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10069,0.0,10.0,7.0,55.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,16.0,72.0,14.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10075,0.0,42.0,28.0,147.0,647.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.0,300.0,1277.0,321.0,2092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,112.0,454.0,71.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10111,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10115,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,168.0,529.0,113.0,905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
